2021-09-24 16:42:28.498  INFO 5411 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$265a4187] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:48.132  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8ede6b08] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:49.226  INFO 6720 --- [main] c.l.hubx.admin.AdminMgmtServiceApp       : No active profile set, falling back to default profiles: default
2021-09-24 16:43:50.328  WARN 6720 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-09-24 16:43:50.520  INFO 6720 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=bbd6097c-6bec-3d4f-992b-be46a62ca411
2021-09-24 16:43:50.623  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$72c4680b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:50.640  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'com.lifebyte.hubx.cache.config.RedissonClientConfig' of type [com.lifebyte.hubx.cache.config.RedissonClientConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:50.648  INFO 6720 --- [main] c.l.h.cache.config.RedissonClientConfig  : start redis connection url redis://127.0.0.1:6380, db0
2021-09-24 16:43:50.740  INFO 6720 --- [main] org.redisson.Version                     : Redisson 3.12.0
2021-09-24 16:43:51.195  INFO 6720 --- [redisson-netty-2-27] o.r.c.pool.MasterPubSubConnectionPool    : 1 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-24 16:43:51.202  INFO 6720 --- [redisson-netty-2-19] o.r.c.pool.MasterConnectionPool          : 24 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-24 16:43:51.249  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'client' of type [org.redisson.Redisson] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:51.256  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8ede6b08] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:51.451  INFO 6720 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 7999 (http)
2021-09-24 16:43:51.479  INFO 6720 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-09-24 16:43:51.479  INFO 6720 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.26]
2021-09-24 16:43:51.581  INFO 6720 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-09-24 16:43:51.581  INFO 6720 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2332 ms
2021-09-24 16:43:51.667  WARN 6720 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
