2021-09-13 14:30:02.269  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$daf0134d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:03.357  INFO 74566 --- [main] c.l.hubx.admin.AdminMgmtServiceApp       : No active profile set, falling back to default profiles: default
2021-09-13 14:30:04.142  WARN 74566 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-09-13 14:30:04.339  INFO 74566 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=c64afe2a-ba51-3b66-bbdb-5389a8ca6f37
2021-09-13 14:30:04.433  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$bed61050] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:04.448  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'com.lifebyte.hubx.cache.config.RedissonClientConfig' of type [com.lifebyte.hubx.cache.config.RedissonClientConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:04.453  INFO 74566 --- [main] c.l.h.cache.config.RedissonClientConfig  : start redis connection url redis://127.0.0.1:6380, db0
2021-09-13 14:30:04.538  INFO 74566 --- [main] org.redisson.Version                     : Redisson 3.12.0
2021-09-13 14:30:04.968  INFO 74566 --- [redisson-netty-2-10] o.r.c.pool.MasterPubSubConnectionPool    : 1 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-13 14:30:04.974  INFO 74566 --- [redisson-netty-2-19] o.r.c.pool.MasterConnectionPool          : 24 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-13 14:30:05.023  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'client' of type [org.redisson.Redisson] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:05.030  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$daf0134d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:05.215  INFO 74566 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 7999 (http)
2021-09-13 14:30:05.243  INFO 74566 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-09-13 14:30:05.243  INFO 74566 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.26]
2021-09-13 14:30:05.358  INFO 74566 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-09-13 14:30:05.358  INFO 74566 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1986 ms
2021-09-13 14:30:05.445  WARN 74566 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2021-09-13 14:30:05.445  INFO 74566 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-13 14:30:05.457  INFO 74566 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@709f0202
2021-09-13 14:30:06.821  INFO 74566 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2021-09-13 14:30:07.039  INFO 74566 --- [main] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2021-09-13 14:30:07.121  INFO 74566 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2021-09-13 14:30:07.121  INFO 74566 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2021-09-13 14:30:07.231  INFO 74566 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2021-09-13 14:30:07.232  INFO 74566 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2021-09-13 14:30:07.643  WARN 74566 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2021-09-13 14:30:07.643  INFO 74566 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-13 14:30:07.872  INFO 74566 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-09-13 14:30:07.999  INFO 74566 --- [main] c.l.hubx.cache.config.RedisCacheConfig   : start redis connection url redis://127.0.0.1:6380, db0
2021-09-13 14:30:08.005  INFO 74566 --- [main] org.redisson.Version                     : Redisson 3.12.0
2021-09-13 14:30:08.058  INFO 74566 --- [redisson-netty-5-14] o.r.c.pool.MasterPubSubConnectionPool    : 1 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-13 14:30:08.058  INFO 74566 --- [redisson-netty-5-19] o.r.c.pool.MasterConnectionPool          : 24 connections initialized for 127.0.0.1/127.0.0.1:6380
2021-09-13 14:30:09.457  INFO 74566 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2021-09-13 14:30:09.527  INFO 74566 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2021-09-13 14:30:09.555  INFO 74566 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2021-09-13 14:30:09.555  INFO 74566 --- [main] com.netflix.discovery.DiscoveryClient    : Client configured to neither register nor query for data.
2021-09-13 14:30:09.562  INFO 74566 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1631507409561 with initial instances count: 0
2021-09-13 14:30:09.594  INFO 74566 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2021-09-13 14:30:09.595  WARN 74566 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-13 14:30:09.608  INFO 74566 --- [main] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2021-09-13 14:30:09.609  INFO 74566 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initialized
2021-09-13 14:30:09.617  INFO 74566 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-13 14:30:09.695  INFO 74566 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ADMIN-MGMT-SERVICE with eureka with status UP
2021-09-13 14:30:09.698  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2021-09-13 14:30:09.699  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2021-09-13 14:30:09.700  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2021-09-13 14:30:09.718  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2021-09-13 14:30:09.718  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2021-09-13 14:30:09.728  INFO 74566 --- [Thread-27] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
